gid,state,lat,long
4233336,Maharashtra,17.0076,74.2615
4233337,Tamil Nadu,10.7886,79.131
4233338,Karnataka,16.1655,74.8214
4233339,Andhra Pradesh,16.1849,81.1353
4233340,Tripura,23.9967,91.9957
4233341,Uttar Pradesh,26.4232,83.8222
4233342,Haryana,29.3355,76.9793
4233343,Karnataka,14.1018,74.4995
4233344,Himachal Pradesh,32.0707,77.1374
4233345,Andhra Pradesh,16.5766,82.0023
4233346,Maharashtra,18.8231,76.1136
4233347,Kerala,12.2544,75.1283
4233348,Odisha,21.9383,86.7265
4233349,West Bengal,23.5171,87.3469
4233350,Maharashtra,18.4859,73.8555
4233351,Rajasthan,25.1418,73.0602
4233352,Tamil Nadu,11.0748,77.8876
4233353,Uttar Pradesh,28.2922,79.8043
4233354,Telangana,17.3264,78.5267
4233355,Karnataka,13.0027,77.6348
4233356,Himachal Pradesh,32.1088,76.3804
4233357,Rajasthan,27.2064,77.4722
4233358,Maharashtra,19.5919,76.2119
4233359,Karnataka,11.8171,76.7923
4233360,West Bengal,25.2824,88.9398
4233361,Uttar Pradesh,25.9954,79.1486
4233362,Punjab,31.5333,75.9019
4233363,Maharashtra,19.7658,74.4751
4233364,Gujarat,22.2085,69.6539
4233365,West Bengal,23.4046,88.4917
4233366,Maharashtra,20.7962,76.6895
4233367,Gujarat,23.0228,72.6908
4233368,Odisha,22.2269,84.821
4233369,Tamil Nadu,10.6621,77.0134
4233370,Kerala,10.7105,76.5873
4233371,Uttar Pradesh,28.4917,79.4447
4233372,Karnataka,13.9332,75.5725
4233373,Karnataka,12.4263,77.2196
4233374,Gujarat,21.2274,73.5812
4233375,Andhra Pradesh,18.5093,83.9128
4233376,Uttar Pradesh,28.0688,80.1027
4233377,Karnataka,13.4329,77.7313
4233378,Maharashtra,20.0625,75.8496
4233379,West Bengal,22.5545,88.3512
4233380,Jharkhand,24.58,87.01
4233381,Uttar Pradesh,27.5715,81.0569
4233382,Uttar Pradesh,27.3196,79.3642
4233383,Maharashtra,20.8355,78.2577
4233384,Odisha,21.0299,83.8098
4233385,Uttar Pradesh,27.5655,81.6524
4233386,Odisha,20.129,85.1155
4233387,Uttar Pradesh,26.7697,81.8561
4233388,Delhi,28.7064,77.1269
4233389,Haryana,28.2764,76.1487
4233390,Bihar,25.556,86.1305
4233391,Himachal Pradesh,31.427,77.3528
4233392,Tamil Nadu,10.3518,77.9857
4233393,Kerala,11.8996,75.3506
4233394,Gujarat,23.4965,73.5138
4233395,Madhya Pradesh,23.0663,75.9131
4233396,Mizoram,23.56,92.7054
4233397,Karnataka,15.2104,75.8843
4233398,Jharkhand,23.6951,86.7633
4233399,Tamil Nadu,9.0652,77.4366
4233400,Assam,26.0836,90.9173
4233401,Himachal Pradesh,30.6943,77.4267
4233402,Delhi,28.6514,77.1956
4233403,Maharashtra,19.2855,77.3796
4233404,Jharkhand,22.5493,85.8072
4233405,Gujarat,21.6377,73.356
4233406,Jharkhand,23.9845,86.2889
4233407,Kerala,10.5944,76.6015
4233408,Gujarat,22.4345,73.1934
4233409,Uttar Pradesh,26.1269,83.2337
4233410,Karnataka,15.6867,76.722
4233411,Jharkhand,24.9464,87.2776
4233412,Telangana,17.4949,78.3946
4233413,Maharashtra,20.0029,73.788
4233414,Bihar,26.1573,85.8996
4233415,Bihar,25.3596,85.8931
4233416,Andhra Pradesh,14.4765,79.988
4233417,Assam,26.3506,92.6761
4233418,Odisha,21.6351,85.615
4233419,Kerala,9.8864,76.8175
4233420,Jharkhand,24.3214,85.702
4233421,Karnataka,12.3095,76.6584
4233422,Maharashtra,17.7708,74.3291
4233423,Maharashtra,18.9178,72.8291
4233424,Uttar Pradesh,26.3479,81.9828
4233425,Haryana,29.6999,76.3614
4233426,Jharkhand,23.6328,86.1748
4233427,Madhya Pradesh,24.1896,78.212
4233428,Maharashtra,19.7869,77.7727
4233429,Maharashtra,18.3387,74.6832
4233430,Madhya Pradesh,22.7047,75.9121
4233431,Uttar Pradesh,25.1444,82.5816
4233432,Tamil Nadu,10.8074,78.6834
4233433,Delhi,28.5762,77.077
4233434,Kerala,10.854,76.0364
4233435,Gujarat,21.6311,72.9936
4233436,West Bengal,23.2243,88.358
4233437,Uttar Pradesh,25.2872,83.11
4233438,Odisha,21.8586,84.0165
4233439,Uttar Pradesh,27.7074,81.9334
4233440,Kerala,8.8737,76.6351
4233441,Rajasthan,27.0491,76.5727
4233442,Bihar,25.8524,85.7737
4233443,Maharashtra,20.2448,74.175
4233444,Maharashtra,16.9017,73.9486
4233445,Jharkhand,24.3582,85.7674
4233446,Gujarat,22.8323,74.2598
4233447,Maharashtra,18.4526,73.916
4233448,Rajasthan,28.1247,75.4001
4233449,Gujarat,24.0724,71.5983
4233450,Rajasthan,23.2357,74.2993
4233451,West Bengal,22.6955,88.5121
4233452,Bihar,25.2146,84.7108
4233453,Uttar Pradesh,26.7401,78.8734
4233454,Himachal Pradesh,31.3822,77.2031
4233455,Madhya Pradesh,26.3402,77.8098
4233456,Maharashtra,19.2075,73.1855
4233457,Uttar Pradesh,28.5716,77.3282
4233458,Kerala,8.7337,76.7266
4233459,Jharkhand,22.965,86.2802
4233460,West Bengal,26.3318,89.4466
4233461,Odisha,22.1236,84.0317
4233462,Tamil Nadu,10.363,77.9755
4233463,Jammu and Kashmir,33.3489,75.8848
