,geometry
0,POINT (74.4754 34.2253)
1,POINT (75.9234 32.9988)
2,POINT (74.2485 33.6711)
3,POINT (74.4213 34.2655)
4,POINT (73.8577 34.3958)
5,POINT (75.076 33.0808)
6,POINT (75.1221 33.6073)
7,POINT (74.8439 33.7956)
8,POINT (74.236 34.414)
9,POINT (75.9236 32.9784)
10,POINT (75.341 32.5276)
11,POINT (74.2304 33.6814)
12,POINT (74.6465 33.3759)
13,POINT (75.2413 34.5371)
14,POINT (74.7127 34.411)
15,POINT (75.137 33.0807)
16,POINT (74.1259 34.4955)
17,POINT (74.3516 34.2706)
18,POINT (74.9731 33.5787)
19,POINT (74.6503 33.9256)
20,POINT (74.945 33.7592)
21,POINT (75.1253 32.7653)
22,POINT (75.0506 33.8838)
23,POINT (74.6768 34.3287)
24,POINT (75.28 33.8639)
25,POINT (75.6573 33.453)
26,POINT (75.3866 33.1651)
27,POINT (75.1526 33.383)
28,POINT (75.5497 32.5842)
29,POINT (74.7625 33.8173)
30,POINT (75.068 33.8223)
31,POINT (75.3875 32.6435)
32,POINT (75.1897 33.0857)
33,POINT (75.5698 33.0875)
34,POINT (75.9726 34.2881)
35,POINT (75.4719 33.1901)
36,POINT (74.2179 33.5507)
37,POINT (74.4473 34.0683)
38,POINT (74.6055 32.799)
39,POINT (74.5451 32.9675)
40,POINT (74.2376 33.3137)
41,POINT (74.8853 33.8127)
42,POINT (74.612 34.4328)
43,POINT (75.3039 33.7042)
44,POINT (75.0481 33.8598)
45,POINT (74.6799 33.3721)
46,POINT (74.888 33.7655)
47,POINT (75.7915 33.1451)
48,POINT (75.5438 32.8103)
49,POINT (75.0825 33.6349)
50,POINT (74.2335 34.5141)
51,POINT (74.6887 34.2462)
52,POINT (75.1361 33.6253)
53,POINT (74.5398 34.4092)
54,POINT (75.0872 33.7258)
55,POINT (75.1503 34.2687)
56,POINT (75.1205 33.3945)
57,POINT (75.2766 33.8009)
58,POINT (74.459 34.5347)
59,POINT (74.9729 33.681)
60,POINT (74.1325 34.5491)
61,POINT (74.2603 34.5204)
62,POINT (74.9693 33.543)
63,POINT (74.1567 33.6398)
64,POINT (75.1722 33.6481)
65,POINT (74.3793 34.2714)
66,POINT (75.2835 33.7327)
67,POINT (74.4157 33.2441)
68,POINT (74.6982 34.3811)
69,POINT (74.5331 33.2418)
70,POINT (74.229 33.704)
71,POINT (74.8764 33.6514)
72,POINT (74.8387 33.3517)
73,POINT (74.039 33.6386)
74,POINT (75.1439 33.7681)
75,POINT (74.9957 32.8672)
76,POINT (75.7053 33.6487)
77,POINT (74.3929 34.2748)
78,POINT (74.3742 34.315)
79,POINT (74.8789 33.3542)
80,POINT (74.9927 33.6477)
81,POINT (74.9625 33.6909)
82,POINT (74.9176 33.7171)
83,POINT (74.4886 34.0913)
84,POINT (75.2825 33.6959)
85,POINT (75.0821 33.718)
86,POINT (74.8006 33.3175)
87,POINT (75.9344 33.0614)
88,POINT (74.9243 33.9462)
89,POINT (75.0827 33.6348)
90,POINT (74.4645 33.0952)
91,POINT (74.2555 33.7989)
92,POINT (74.1678 34.3754)
93,POINT (75.1418 33.1387)
94,POINT (74.5292 33.9973)
95,POINT (74.5201 33.3585)
96,POINT (73.8565 34.3945)
97,POINT (74.6021 34.4177)
98,POINT (75.2038 33.3291)
99,POINT (74.5951 34.0126)
100,POINT (74.1341 33.6045)
101,POINT (75.1362 33.7243)
102,POINT (74.2406 34.524)
103,POINT (74.2965 34.5455)
104,POINT (74.7559 33.7774)
105,POINT (74.441 34.1281)
106,POINT (75.0492 33.7427)
107,POINT (76.1743 33.2665)
108,POINT (74.2287 33.704)
109,POINT (74.4289 34.5043)
110,POINT (74.6509 33.0267)
111,POINT (73.8076 34.3724)
112,POINT (74.4292 33.4316)
113,POINT (75.4154 32.7786)
114,POINT (74.4196 34.0632)
115,POINT (75.4861 32.6365)
116,POINT (75.2792 33.8558)
117,POINT (74.5268 33.9969)
118,POINT (74.9997 33.2673)
119,POINT (76.8308 34.8487)
120,POINT (75.3878 33.0691)
121,POINT (74.7223 33.801)
122,POINT (74.5642 34.1467)
123,POINT (74.6801 34.0864)
124,POINT (75.1705 32.7211)
125,POINT (75.6678 32.7149)
126,POINT (74.1669 34.5853)
127,POINT (75.6893 32.7048)
128,POINT (75.4865 32.815)
129,POINT (73.8501 34.3951)
130,POINT (74.5202 33.3599)
131,POINT (75.0949 33.9761)
132,POINT (75.7917 33.1456)
133,POINT (74.4176 34.0933)
134,POINT (75.1303 33.9338)
135,POINT (74.5854 34.1396)
136,POINT (75.8684 33.0931)
137,POINT (75.2507 33.8083)
138,POINT (74.3501 33.4933)
139,POINT (74.1165 34.4696)
140,POINT (74.2518 34.54)
141,POINT (74.708 33.9649)
142,POINT (75.0357 33.7071)
143,POINT (74.8189 33.1834)
144,POINT (74.5897 33.931)
145,POINT (74.6138 34.4302)
146,POINT (75.2595 33.6917)
147,POINT (75.5672 32.598)
148,POINT (75.7136 33.3416)
149,POINT (75.9108 33.0335)
150,POINT (74.5904 34.1411)
151,POINT (75.5925 32.5607)
152,POINT (75.2557 33.5498)
153,POINT (75.7573 33.304)
154,POINT (74.9374 33.3609)
155,POINT (74.4527 34.3661)
156,POINT (74.4774 34.1717)
157,POINT (75.2036 33.3292)
158,POINT (74.7908 33.9244)
159,POINT (74.8052 33.9401)
160,POINT (75.0425 33.2907)
161,POINT (75.3382 32.8641)
162,POINT (74.4467 34.478)
163,POINT (75.3732 33.6291)
164,POINT (74.8578 33.313)
165,POINT (74.193 33.6215)
166,POINT (75.9 32.9949)
167,POINT (74.279 34.4929)
168,POINT (74.2257 34.5028)
169,POINT (74.5948 34.0147)
170,POINT (75.241 33.3728)
171,POINT (75.5252 32.6431)
172,POINT (74.9795 33.2192)
173,POINT (75.2223 33.6865)
174,POINT (74.5128 34.1732)
175,POINT (74.253 33.7957)
176,POINT (74.8403 34.6344)
177,POINT (74.3782 34.4097)
178,POINT (74.6888 34.1162)
179,POINT (74.9251 33.6133)
180,POINT (74.4503 34.5473)
181,POINT (74.4162 34.5108)
182,POINT (75.1555 33.6745)
183,POINT (75.2233 33.58)
184,POINT (75.0251 33.7007)
185,POINT (74.8733 33.2864)
186,POINT (75.2521 32.6838)
187,POINT (74.8964 33.6637)
188,POINT (75.7931 33.1422)
189,POINT (74.136 34.4565)
190,POINT (74.4869 33.2101)
191,POINT (74.6942 33.0857)
192,POINT (75.2172 33.6795)
193,POINT (74.2582 34.5211)
194,POINT (74.473 34.1712)
195,POINT (75.15 32.8412)
196,POINT (75.0661 33.8244)
197,POINT (74.5644 34.0609)
198,POINT (75.3732 33.6243)
199,POINT (74.701 34.018)
200,POINT (74.6664 32.8662)
201,POINT (75.5936 33.4898)
202,POINT (74.4272 33.433)
203,POINT (74.1862 34.5231)
204,POINT (75.0818 33.7186)
