,geometry,index_right,fid,ID,ELEV
294,POINT (74.3089 33.3731),8818,8819.0,8818,200.0
7216,POINT (74.3132 33.3756),8818,8819.0,8818,200.0
11367,POINT (74.3135 33.3655),8818,8819.0,8818,200.0
12093,POINT (74.3272 33.3459),8818,8819.0,8818,200.0
12603,POINT (74.3143 33.3788),8818,8819.0,8818,200.0
16973,POINT (74.3092 33.3721),8818,8819.0,8818,200.0
16974,POINT (74.3075 33.3766),8818,8819.0,8818,200.0
41586,POINT (74.3155 33.3785),8818,8819.0,8818,200.0
51340,POINT (74.3093 33.3721),8818,8819.0,8818,200.0
57899,POINT (74.3182 33.3684),8818,8819.0,8818,200.0
63613,POINT (74.3093 33.3735),8818,8819.0,8818,200.0
64420,POINT (74.3142 33.3691),8818,8819.0,8818,200.0
69481,POINT (74.318 33.3913),8818,8819.0,8818,200.0
525,POINT (74.8235 34.0715),7556,7557.0,7556,200.0
771,POINT (74.8038 34.0763),7556,7557.0,7556,200.0
2235,POINT (74.8249 34.1655),7556,7557.0,7556,200.0
5095,POINT (74.811 34.0734),7556,7557.0,7556,200.0
6261,POINT (74.7782 34.2172),7556,7557.0,7556,200.0
6418,POINT (74.7338 34.1012),7556,7557.0,7556,200.0
7076,POINT (74.8178 34.0724),7556,7557.0,7556,200.0
8744,POINT (74.797 34.0858),7556,7557.0,7556,200.0
10727,POINT (74.7242 34.0185),7556,7557.0,7556,200.0
11233,POINT (74.8065 34.1904),7556,7557.0,7556,200.0
13465,POINT (74.8217 34.1317),7556,7557.0,7556,200.0
13488,POINT (74.8239 34.193),7556,7557.0,7556,200.0
14815,POINT (74.797 34.0841),7556,7557.0,7556,200.0
16477,POINT (74.8203 34.0628),7556,7557.0,7556,200.0
16746,POINT (74.7715 34.0748),7556,7557.0,7556,200.0
16843,POINT (74.8372 34.1349),7556,7557.0,7556,200.0
17834,POINT (74.8407 34.153),7556,7557.0,7556,200.0
18469,POINT (74.7582 34.0644),7556,7557.0,7556,200.0
21679,POINT (74.7935 34.0894),7556,7557.0,7556,200.0
29367,POINT (74.8048 34.0669),7556,7557.0,7556,200.0
29457,POINT (74.8772 34.1448),7556,7557.0,7556,200.0
41426,POINT (74.7677 34.0191),7556,7557.0,7556,200.0
41428,POINT (74.774 34.2169),7556,7557.0,7556,200.0
41436,POINT (74.7605 34.1065),7556,7557.0,7556,200.0
42974,POINT (74.8109 34.0734),7556,7557.0,7556,200.0
43008,POINT (74.8155 34.0781),7556,7557.0,7556,200.0
43009,POINT (74.8114 34.0736),7556,7557.0,7556,200.0
43010,POINT (74.8111 34.0734),7556,7557.0,7556,200.0
43011,POINT (74.8111 34.0735),7556,7557.0,7556,200.0
43012,POINT (74.811 34.0735),7556,7557.0,7556,200.0
43013,POINT (74.811 34.0734),7556,7557.0,7556,200.0
43014,POINT (74.8097 34.045),7556,7557.0,7556,200.0
52737,POINT (74.8372 34.1349),7556,7557.0,7556,200.0
56625,POINT (74.8398 34.1744),7556,7557.0,7556,200.0
56738,POINT (74.8138 34.1127),7556,7557.0,7556,200.0
56784,POINT (74.8122 34.0147),7556,7557.0,7556,200.0
56878,POINT (74.8011 34.1522),7556,7557.0,7556,200.0
57188,POINT (74.8007 34.0764),7556,7557.0,7556,200.0
57264,POINT (74.8771 34.0379),7556,7557.0,7556,200.0
57307,POINT (74.8065 34.1199),7556,7557.0,7556,200.0
57378,POINT (74.768 34.2151),7556,7557.0,7556,200.0
57825,POINT (74.6978 34.1159),7556,7557.0,7556,200.0
57992,POINT (74.8227 34.123),7556,7557.0,7556,200.0
59410,POINT (74.8083 34.0774),7556,7557.0,7556,200.0
60126,POINT (74.777 34.2099),7556,7557.0,7556,200.0
60826,POINT (74.8262 34.0831),7556,7557.0,7556,200.0
62765,POINT (74.8117 34.0897),7556,7557.0,7556,200.0
63337,POINT (74.7872 34.0853),7556,7557.0,7556,200.0
64297,POINT (74.8608 34.0595),7556,7557.0,7556,200.0
65484,POINT (74.7904 33.9867),7556,7557.0,7556,200.0
65860,POINT (74.8065 34.1476),7556,7557.0,7556,200.0
65872,POINT (74.7767 34.0951),7556,7557.0,7556,200.0
